Prefix,DXCC Entity,ISO2,ISO LOWER,Continent
1A,SMOM (Malteserorden),--,--,EU
1S,Spratly-Inseln,--,--,AS
3A,Monaco,MC,mc,EU
3B6,Agalega & St. Brandon,MU,mu,AF
3B8,Mauritius,MU,mu,AF
3C,Äquatorialguinea,GQ,gq,AF
3C0,Annabon,GQ,gq,AF
3D2,Fidschi,FJ,fj,OC
3D2C,Conway Reef,FJ,fj,OC
3D2R,Rotuma,FJ,fj,OC
3DA,Eswatini (Swasiland),SZ,sz,AF
3V,Tunesien,TN,tn,AF
3W,Vietnam,VN,vn,AS
3Y,Bouvetinsel,BV,bv,AN
3Y/P,Peter-I.-Insel,AQ,aq,AN
4L,Georgien,GE,ge,AS
4O,Montenegro,ME,me,EU
4S,Sri Lanka,LK,lk,AS
4U1ITU,ITU Genf,CH,ch,EU
4U1UN,UN Hauptquartier New York,US,us,NA
4W,Osttimor,TL,tl,AS
4X,Israel,IL,il,AS
4Z,Israel,IL,il,AS
5A,Libyen,LY,ly,AF
5B,Zypern,CY,cy,AS
5H,Tansania,TZ,tz,AF
5N,Nigeria,NG,ng,AF
5R,Madagaskar,MG,mg,AF
5T,Mauretanien,MR,mr,AF
5U,Niger,NE,ne,AF
5V,Togo,TG,tg,AF
5W,Westsamoa,WS,ws,OC
5X,Uganda,UG,ug,AF
5Y,Kenia,KE,ke,AF
6W,Senegal,SN,sn,AF
6Y,Jamaika,JM,jm,NA
7P,Lesotho,LS,ls,AF
7Q,Malawi,MW,mw,AF
7X,Algerien,DZ,dz,AF
8P,Barbados,BB,bb,NA
8Q,Malediven,MV,mv,AS
8R,Guyana,GY,gy,SA
9A,Kroatien,HR,hr,EU
9G,Ghana,GH,gh,AF
9H,Malta,MT,mt,EU
9J,Sambia,ZM,zm,AF
9K,Kuwait,KW,kw,AS
9L,Sierra Leone,SL,sl,AF
9M2,West-Malaysia,MY,my,AS
9M6,Ost-Malaysia,MY,my,AS
9N,Nepal,NP,np,AS
9U,Burundi,BI,bi,AF
9V,Singapur,SG,sg,AS
9X,Ruanda,RW,rw,AF
9Y,Trinidad & Tobago,TT,tt,NA
A2,Botswana,BW,bw,AF
A3,Tonga,TO,to,OC
A4,Oman,OM,om,AS
A5,Bhutan,BT,bt,AS
A6,Ver. Arabische Emirate,AE,ae,AS
A7,Katar,QA,qa,AS
A9,Bahrain,BH,bh,AS
AA,USA,US,us,NA
AB,USA,US,us,NA
AC,USA,US,us,NA
AD,USA,US,us,NA
AE,USA,US,us,NA
AF,USA,US,us,NA
AG,USA,US,us,NA
AH,USA,US,us,NA
AI,USA,US,us,NA
AJ,USA,US,us,NA
AK,USA,US,us,NA
B,China,CN,cn,AS
BS7,Scarborough Reef,--,--,AS
BV,Taiwan,TW,tw,AS
BY,China (Klubstationen),CN,cn,AS
C2,Nauru,NR,nr,OC
C3,Andorra,AD,ad,EU
C5,Gambia,GM,gm,AF
C6,Bahamas,BS,bs,NA
C9,Mosambik,MZ,mz,AF
CE,Chile,CL,cl,SA
CE0A,Osterinsel,CL,cl,OC
CE0X,San Felix,CL,cl,SA
CE0Z,Juan Fernandez,CL,cl,SA
CE9,Antarktis,AQ,aq,AN
CM,Kuba,CU,cu,NA
CN,Marokko,MA,ma,AF
CP,Bolivien,BO,bo,SA
CT,Portugal,PT,pt,EU
CT3,Madeira,PT,pt,AF
CU,Azoren,PT,pt,EU
CX,Uruguay,UY,uy,SA
D2,Angola,AO,ao,AF
D4,Kap Verde,CV,cv,AF
D6,Komoren,KM,km,AF
DA,Deutschland,DE,de,EU
DF,Deutschland,DE,de,EU
DH,Deutschland,DE,de,EU
DJ,Deutschland,DE,de,EU
DK,Deutschland,DE,de,EU
DL,Deutschland,DE,de,EU
DM,Deutschland,DE,de,EU
DN,Deutschland,DE,de,EU
DO,Deutschland,DE,de,EU
DP,Deutschland,DE,de,EU
DQ,Deutschland,DE,de,EU
DR,Deutschland,DE,de,EU
DU,Philippinen,PH,ph,AS
E3,Eritrea,ER,er,AF
E4,Palästina,PS,ps,AS
E5,Cookinseln,CK,ck,OC
E7,Bosnien-Herzegowina,BA,ba,EU
EA,Spanien,ES,es,EU
